"ID","登记人","填写日期","产品型号","问题分类","问题","答案","来源备注","图片","视频","问题的英文翻译","问题的中文翻译","推荐问题分类"
"88","王光琼","2026/07/14","FLC-220V","故障排除","Quasi inesistente la differenza tra la prima e la seconda e la terza velocità, trattengo comunque il prodotto senza restituirlo perché per l'uso che ne faccio mi va bene comunque.Prodotto non all'altezza","","","","","There is almost no difference among the first, second, and third speeds. I will keep the product because it is still acceptable for my use, but it does not meet expectations.","第一、第二和第三档速度几乎没有区别。因为对我的用途来说还算能用，所以我不会退货，但产品没有达到预期。","故障排除"
"89","王光琼","2026/07/14","FLC-220V","材质","This item worked perfectly and was straightforward to install. However I had to slightly extend the live feed cable to the fan motor as it was 20mm short of reaching the connector of the motor terminal block (Sycamore 54 Blade fan).","","","","","This item worked perfectly and was easy to install. However, I had to slightly extend the live output wire to the fan motor because it was 20 mm too short to reach the motor terminal block on my Sycamore 54 Blade fan.","这个产品工作正常，安装也很直接。不过，连接风扇电机的火线输出线短了 20 mm，无法接到我的 Sycamore 54 Blade 风扇电机端子排，因此我不得不稍微延长这根线。","安装设置"
"90","王光琼","2026/07/14","FLC-220V","故障排除","Después de 3 meses de uso, mal muy mal.Ya lo tendría que haber devuelto nada más instalarlo, el selector de velocidades es como si no existiera, los tres modos son idénticos en velocidad.Es malo pero malo de verdad, es una copia mala de los que traen los ventiladores que compras en cualquier tienda en España y de fabricación Europea.","","","","","After three months of use, it is very bad. I should have returned it immediately after installation. The speed selector is effectively useless because all three modes run at the same speed. It is a poor copy of the controllers supplied with fans sold in European stores.","使用三个月后，表现非常差。我本应在安装后立即退货。速度选择器形同虚设，因为三个档位的速度完全相同。它像是欧洲商店所售风扇原配控制器的劣质仿制品。","故障排除"
"91","王光琼","2026/07/14","FLC-220V","故障排除","After 6 months the light randomly stopped working on and off.","","","","","After six months, the light began randomly stopping and working again.","使用六个月后，灯开始随机失效，时而不亮、时而又恢复。","故障排除"
"92","王光琼","2026/07/14","FLC-220V","故障排除","So this product works great. Easy to install and instructions to disable beep are clear. The problem comes when you disable the beep, the receiver STILL BEEPS when you turn the main light switch off and on. Its also not very quiet. Needless to say this is extremely annoying and IMO unacceptable for a light. Why this is the default is really confusing for me.Solution to Fix: Open up the plastic enclosure and find the Piezo Buzzer. (Little black cylinder labelled ""BUZ"") Use a pair of plyers to pry off the black cap of the piezo buzzer, then remove the small disk inside. Then replace the black cap. This will remove all the beeps. This goes for any electronics that rely on a piezo buzzer.So yeah, this product does work well, installs easy, but the fact you have to tear the product apart to just remove a beep is unacceptable. Hope this can at least help some folks that get swindled and dont want to return the product.","","","","","The product works well and is easy to install. The instructions for disabling the beep are clear. However, after disabling the beep, the receiver still beeps when the main light switch is turned off and on. It is also not very quiet. This is extremely annoying and unacceptable for a light. I do not understand why this is the default. My workaround was to open the plastic case, find the piezo buzzer marked BUZ, remove its black cap with pliers, take out the small disc, and replace the cap. This removes all beeps. The product works and installs easily, but having to open it just to remove the beep is unacceptable. I hope this helps people who do not want to return it.","产品本身工作正常，也容易安装，关闭蜂鸣声的说明也很清楚。但关闭蜂鸣声后，每次关闭再打开灯的总开关，接收器仍会蜂鸣，而且声音并不小。对于灯具来说，这非常烦人，也不可接受，我不明白为什么默认这样设计。我的解决方法是打开塑料外壳，找到标有 BUZ 的压电蜂鸣器，用钳子撬开黑色盖子，取出里面的小圆片，再装回盖子。这样可以消除所有蜂鸣声。产品确实能用且容易安装，但为了消除蜂鸣声而必须拆机是不可接受的。希望这能帮助不想退货的人。","故障排除"
"93","王光琼","2026/07/14","FLC-220V","故障排除","Connesso a un comune ventilatore vortice da un metro di diametro sulla velocità minima da 125 volt sulla velocità intermedia da 205 volt sulla velocità massima da 230 volt, praticamente la velocità intermedia non dovrebbe essere 205 volt ma dovrebbe essere 180 volt, questo l'ho potuto verificare dando 180 volt reali il ventilatore ha effettivamente una velocità intermedia in questo modo fra 205 volt e 230 volt non si percepisce differenza di rendimento, è come se lavorasse al massimo","","","","","I connected it to a standard one-meter-diameter Vortice fan. The output is 125 V on LOW, 205 V on MED, and 230 V on HI. MED should be about 180 V, not 205 V. I confirmed this by supplying a real 180 V, which gave a proper medium speed. At 205 V and 230 V, there is no noticeable performance difference, so MED behaves almost like HI.","我把它连接到一台直径一米的普通 Vortice 风扇。低速档输出 125 V，中速档输出 205 V，高速档输出 230 V。中速档不应是 205 V，而应约为 180 V。我实际提供 180 V 进行验证后，风扇确实表现为合适的中速。205 V 与 230 V 之间几乎感觉不到性能差异，因此中速档实际接近高速档。","故障排除"
"94","王光琼","2026/07/14","FLC-220V","故障排除","Tengo dos ventiladores de Leroy. Uno de ellos empezó a hacer un ruido extraño y giraba a menos revolver. Cambié esta pieza de uno a otro y comprobé que es la pieza que fallaba así que encargué esta a pesar de ver que las conexiones no son iguales.Al final la conexión es sencilla pues la pieza rota utiliza las mismas letras, que no colores,  en sus cables y así se pueden identificar perfectamente.Pierdo la capacidad de atenuar la luz que con el roto si podía pero por lo menos sigo aprovechando el pedazo de ventilador.","","","image.png","","I have two Leroy fans. One began making a strange noise and running more slowly. I swapped this part between the two fans and confirmed that the part had failed, so I ordered this receiver even though the connectors looked different. The connection was simple because the failed part used the same letter labels, although the wire colors differed. I lost the light-dimming function that the old receiver had, but at least I can keep using the fan.","我有两台 Leroy 风扇，其中一台开始发出异响，转速也变慢。我把这个部件在两台风扇之间互换，确认是该部件故障，因此尽管接口看起来不同，我还是订购了这个接收器。接线很简单，因为损坏部件的导线使用相同的字母标识，只是颜色不同。更换后失去了旧接收器具备的灯光调光功能，但至少风扇还能继续使用。","产品适配"
"97","王光琼","2026/07/14","FLC-220V","功能设置","Hace demasiado ruido al girar","","","","","It makes too much noise while running.","运行时噪声太大。","故障排除"
"98","王光琼","2026/07/14","FLC-220V","功能设置","Lieferung war top. Einbau ist nichts für Laien!!! Aber den Piepton bring ich nicht weg. Entweder geht nach dem Ausschalten des Tons gar nichts mehr oder der Ton bleibt. Da hilft auch der Reset nichts...","","","","","Delivery was excellent. Installation is not for beginners. However, I cannot disable the beep. Either nothing works after I turn off the sound, or the beep remains. Resetting does not help.","配送很好。安装不适合非专业人士。不过，我无法关闭蜂鸣声：关闭声音后，要么整个设备都无法工作，要么蜂鸣声仍然存在。重置也没有帮助。","故障排除"
"99","王光琼","2026/07/14","FLC-220V","故障排除","L'article rempli sa fonction pour ouvrir, fermer la lumière et le ventilateur.Ma mauvaise surprise a été de constater qu'après une panne en pleine nuit, non seulement le ventilateur s'était remis en marche mais également la lumière.","","","","","The product can turn the light and fan on and off. My unpleasant surprise was that after a power outage during the night, both the fan and the light turned on again by themselves.","产品能够开关灯和风扇。但令我意外且不满的是，夜间停电后恢复供电时，风扇和灯都自行重新启动了。","故障排除"
"100","王光琼","2026/07/14","FLC-220V","故障排除","L’ montato su un vecchio ventilatore per sostituire il variatore esistente a variazione continua ma manuale e lontano dalla pala. Installato senza problemi ma anche alla velocita minima low la pala gira troppo velocemente, in media e high diventa un elicotteroDopo questa recensione il venditore mi ha offerto il rimborso dell’ articolo che non potevo utilizzare.Pur dispiaciuto di non poter automatizzare il mio ventilatore , rivolgo un grazie sentito x la sensibilità del venditore","","","","","I installed it on an old fan to replace the existing manual continuous-speed controller located away from the blades. Installation was easy, but even on LOW the blades spin too fast. On MED and HI, the fan sounds like a helicopter. The seller later offered a refund because I could not use the item. I am sorry I could not automate my fan, but I appreciate the seller's response.","我把它安装在一台旧风扇上，用来替换原有的手动无级调速器，该调速器离扇叶较远。安装没有问题，但即使在 LOW 低速档，扇叶也转得太快；在 MED 中速和 HI 高速档，风扇简直像直升机。后来卖家因产品无法使用而主动退款。虽然没能实现风扇自动控制很遗憾，但感谢卖家的处理。","故障排除"
"102","王光琼","2026/07/14","FLC-220V","故障排除","No es tan ""universal"" como era de esperar. Al menos la compatibilidad con mis ventiladores no ha sido total. primero la carcasa del control es algo más alta y me ha costado encajarla en el hueco del anterior. Segundo la diferencia entre las velocidades LOW - MED - HIGH es inapreciable.","","","","","It is not as universal as expected and is not fully compatible with my fans. First, the controller housing is taller, so it was difficult to fit into the space for the old receiver. Second, there is almost no noticeable difference among LOW, MED, and HI.","它并没有预期中那么通用，与我的风扇不能完全兼容。第一，控制器外壳更高，很难装进原接收器的位置。第二，LOW、MED 和 HI 三档之间几乎感觉不到差别。","产品适配"
"103","王光琼","2026/07/14","FLC-220V","故障排除","Cuidado, la placa del control remoto que hay que colocar en el ventilador no es universal , las medidas de ancho de la misma, están varios milímetros mayores  que le hueco para instalar el modulo que tiene mi ventilador. La placa del fabricante que se me averió en un poco mas estrecha, pero como el cajetín comprado es bastante amplio y la placa bailaba suelta en su interior, (me parece un fallo que la placa venga suelta sin sujeción alguna en la caja), me decidí antes de devolverlo a abrirlo y  reducir un poco el tamaño sobrante de la caja para poder colocarlo.  El ventilador funciona bien con sus tres velocidades, y mi ventilador no tiene luz.","","","","","Be careful: the remote-control board installed in the fan is not universal. Its width is several millimeters greater than the space available in my fan. The original failed board was slightly narrower. Because the purchased housing was quite roomy and the board moved loosely inside it, I opened the housing and trimmed the excess before returning it. I think leaving the board unsecured inside the box is a design fault. After modification, the fan works correctly at all three speeds. My fan has no light.","请注意：安装在风扇内的遥控控制板并非通用尺寸。它的宽度比我的风扇预留空间大几毫米，原厂损坏的控制板略窄。由于新买的外壳内部空间较大，电路板在里面松动，我认为电路板在盒内没有固定是设计问题。退货前，我决定打开外壳并削减多余尺寸。改装后，风扇的三档速度都正常工作。我的风扇没有灯。","产品适配"
"105","王光琼","2026/07/14","FLC-220V","故障排除","pas compatible. aucun bouton pour renverser le ventilateur.ne fonctionne pas. besoin de savoir comment faire  pour vous le retourner et se faire remboursement. Nous avons changé le ventilateur.","","","","","It is not compatible. There is no button to reverse the fan, and it does not work. I need to know how to return it and receive a refund. We replaced the fan.","它不兼容。遥控器没有让风扇反转的按钮，而且无法工作。我需要知道如何退货和退款。我们已经更换了风扇。","产品适配"
"108","王光琼","2026/07/14","FLC-220V","故障排除","Ok il tasto 1 bassa velocitàIl tasto 2 media velocità è come se fosse la terza velocitàIl terzo tasto che doveva essere velocità massima, è come se fosse la prima velocità. Adesso mi funziona a 2 velocità e sinceramente la ventilazione non è veloce come il precedente ricevitore. Non lo ricomprerei","","","","","Button 1 correctly gives low speed. Button 2, which should give medium speed, behaves like high speed. Button 3, which should give maximum speed, behaves like low speed. I now effectively have only two speeds, and the airflow is not as strong as with the previous receiver. I would not buy it again.","按钮 1 能正确控制低速。按钮 2 本应控制中速，却像高速；按钮 3 本应控制最高速，却像低速。现在实际只有两档速度，而且风量不如之前的接收器强。我不会再次购买。","故障排除"
"109","王光琼","2026/07/14","FLC-220V","故障排除","La velocidad lenta es muy rápida a mi gusto y no se puede cambiar","","","","","LOW is too fast for my preference, and it cannot be adjusted.","低速档对我来说太快，而且无法调整。","故障排除"
"110","王光琼","2026/07/14","FLC-220V","故障排除","Un año después de su compra, a dejado de funcionar. Un año justo. Lo compré el 29 de julio de 2023 y el 29 de julio de 2024 deja de funcionar. Programado para morir? Dentro del año de uso todo bien. Aún la velocidad ha sido la misma en las 3 posiciones del mando, vamos que solo tiene una velocidad.","","","","","It stopped working exactly one year after purchase. I bought it on July 29, 2023, and it failed on July 29, 2024. Was it designed to fail? It worked well during that year, although all three remote speed settings always ran at the same speed, so it effectively had only one speed.","购买整整一年后，它停止工作了。我在 2023 年 7 月 29 日购买，2024 年 7 月 29 日就坏了。是被设计成到期损坏吗？这一年里其他方面都正常，但遥控器的三个速度档一直完全相同，实际上只有一个速度。","故障排除"
"111","王光琼","2026/07/14","FLC-220V","故障排除","No me gusta el producto porque al poco tiempo, 2 o 3 meses, ya no senpodia apagar ni encender la luz, segun he visto por internet es un problema de puenteo. ventilador sin problemas.solo tiene de plazo un mes para devolucion.sin garantia","","","","","I dislike the product because after only two or three months, the light could no longer be turned on or off. From what I found online, this may be a bridging problem. The fan still works. The return period is only one month, and there is no warranty.","我不喜欢这个产品，因为仅使用两三个月后，灯就无法开关了。我在网上查到，这可能是桥接故障。风扇仍能正常工作。退货期限只有一个月，而且没有保修。","故障排除"
"114","王光琼","2026/07/14","FLC-220V","兼容性","Il montaggio è semplice ma attenzione alle dimensioni dell' alloggiamento, potrebbe non entrare","","","","","Installation is simple, but check the available space because the receiver may not fit in the housing.","安装很简单，但要注意安装空间的尺寸，因为接收器可能装不进去。","产品适配"
"115","王光琼","2026/07/14","FLC-220V","功能设置","Works great, however it has a very loud hum to it. If you are sensitive to buzzing noises I don’t recommend.","","","","","It works well, but it produces a very loud hum. I do not recommend it if you are sensitive to buzzing noises.","它工作正常，但会产生很大的嗡嗡声。如果你对嗡鸣声敏感，我不推荐这款产品。","故障排除"
"116","王光琼","2026/07/14","FLC-220V","故障排除","Empezó a hacer cosas raras al poco de instalarlo, a los tres meses está roto, no reacciona a nada y no puedo apagar la luz ni controlar el ventilador, una pérdida de dinero.","","","","","It began behaving strangely soon after installation. After three months it was broken, did not respond to anything, and I could neither turn off the light nor control the fan. It was a waste of money.","安装后不久，它就开始出现异常。三个月后彻底损坏，对任何操作都没有反应，我既无法关灯，也无法控制风扇。完全是浪费钱。","故障排除"
"118","王光琼","2026/07/14","FLC-220V","故障排除","La velocidad del ventilador al 1, es muy alta.","","","","","The fan speed on setting 1 is too high.","风扇在 1 档时速度太高。","故障排除"
"119","王光琼","2026/07/14","FLC-220V","故障排除","Se me acaba de romper. Dejó de funcionar y no podía ni encender la luz.","","","","","It has just broken. It stopped working, and I could not even turn on the light.","它刚刚坏了，停止工作，连灯也无法打开。","故障排除"
"120","王光琼","2026/07/14","FLC-220V","安装接线","De repente dejo de funcionar para apagar la luz desde el mando, emite el pitido pero no hace nada. Si quiero tener el ventilador tengo que tener todo el tiempo la luz encendida o quitar la bombilla de la rosca. No lo entiendo.","","","","","It suddenly stopped turning off the light from the remote. The receiver beeps but does nothing. To use the fan, I must keep the light on all the time or remove the bulb from its socket. I do not understand this behavior.","它突然无法通过遥控器关灯。接收器会发出蜂鸣声，但没有任何动作。为了使用风扇，我必须一直开着灯，或者把灯泡从灯座上拆下来。我不明白为什么会这样。","故障排除"
"121","王光琼","2026/07/14","FLC-220V","故障排除","Fuktionierte 6 Monate gut. Danach wurden wir nachts durch Brandgeruch geweckt. Die Steuerung hatte sich in einen geschmolzenen Haufen Plastik verwandelt und hatte auf dem Untergrund einen tiefen Brandfleck hinterlassen, das hätte sehr böse enden können. Im Gerät selbst ist offenbar kein Schutz enthalten und es kokelte lustig vor sich hin. Schrott.","","","","","It worked well for six months. Then we woke up at night to a burning smell. The controller had melted into a lump of plastic and left a deep burn mark on the surface below. This could have ended very badly. The device apparently has no internal protection and kept smoldering. It is scrap.","产品正常工作了六个月。之后有一天夜里，我们被烧焦味惊醒。控制器已经熔成一团塑料，并在下方表面留下了很深的烧痕，后果本可能非常严重。设备内部显然没有保护装置，而且一直在阴燃。它已经报废了。","故障排除"
"123","王光琼","2026/07/14","FLC-220V","兼容性","First time I've ever seen a fan remote with no dimmer.  Not clearly listed in description.Do not buy if you are looking for dimmable light.","","","","","This is the first fan remote I have seen without a dimmer. The lack of dimming was not clearly stated in the description. Do not buy it if you need dimmable lighting.","这是我第一次见到没有调光功能的风扇遥控器。商品描述没有明确说明不支持调光。如果需要可调光照明，请不要购买。","产品适配"
"124","王光琼","2026/07/14","FLC-220V","安装接线","Le doy hi me enciende el ventilador y la luz.y si le doy a la luz me enciende la luz y el ventiLador y está todo buen conectado .","","","","","When I press HI, both the fan and the light turn on. When I press the light button, both the light and the fan turn on. All wiring is correct.","按下 HI 时，风扇和灯会同时开启；按下灯光按钮时，灯和风扇也会同时开启。所有接线都正确。","故障排除"
